id,name,state,zip,website
666,PICKENS TECHNICAL COLLEGE,CO,80011,www.pickenstech.org/
667,HAWKEYE COMMUNITY COLLEGE,IA,50701,www.hawkeyecollege.edu/
668,CENTRAL SCHOOL OF PRACTICAL NURSING,OH,44131,https://www.cspnohio.edu/
669,STRATFORD SCHOOL FOR AVIATION MAINTENANCE TECHNICIANS,CT,06615,www.cttech.org/platt
670,BRIGHTON CENTER'S CENTER FOR EMPLOYMENT TRAINING,KY,41071,www.brightoncenter.com/
671,HARRIS SCHOOL OF BUSINESS-DOVER CAMPUS,DE,19901,harrisschool.edu
672,CAMBRIDGE TECHNICAL INSTITUTE,PR,00918,www.cti.edu/
673,PAUL MITCHELL THE SCHOOL-GREAT LAKES,MI,48060,paulmitchell.edu/porthuron
674,COLLEGEAMERICA-COLORADO SPRINGS,CO,80909,www.collegeamerica.edu/
675,HARRIS SCHOOL OF BUSINESS-LINWOOD CAMPUS,NJ,08221,https://www.harrisschool.edu/campus-locations/linwood-nj/
676,EASTERN CONNECTICUT STATE UNIVERSITY,CT,06226,www.easternct.edu/
